"I'm a ramen fanatic. A ramen enthusiast. A ramen disciple. But, until recently I had never yet made a pilgrimage to what many consider the Mecca of LA ramen: Daikokuya. I'd been past it many, many times. But today was the day. I was off so I drove downtown and arrived just a few minutes before they opened. There was only one other family waiting. So, I took their family photo in front of the Daikokuya storefront and secretly cut off their heads in the frame. (Just kidding.)I ordered the classic combo of Daikokuya ramen, a small pork cutlet bowl and of course a beer. In this case a Japanese IPA that was hopppy but rather mild. My pork cutlet bowl arrived first. I was immediately impressed. Crisp pork nestled atop soft gently scrambled eggs with savory onion slices on top of perfectly prepared rice. Wonderful! I added a tiny bit of soy sauce &amp; ginger and then savored every single bite. My ramen arrived soon after. This was the solid savory broth I had hoped it might be. There's not much else to add. It was clear to me why this place is legendary. Go there and experience this authentic Japanese ramen spot for yourself and I'm certain you'll be happy you did.",5
"I'd say this is a hidden gem in Little Tokyo, but the line suggests it's not so hidden! CASH ONLY. I recommend getting the combination plate with the Daikokuya ramen and fried rice. This fried rice is the best fried rice I have ever tasted (not exaggerating). The ramen was great, but the fried rice stole the show for me. The ramen comes in huge portions, so well worth the price! I added a spicy miso bomb for some extra flavor. It isn't that spicy, more flavorful. I didn't add the kotteri flavor (extra fat for richness) as I like my ramen on the lighter side. The pork belly was so tender and the noodles perfectly cooked. The fried rice had several different elements incorporated inside it to make the most delicious rice ever! Despite being swamped, the staff was quick and so polite. Expect to wait for an awesome dining experience!",5
"I was so excited to go here because I love the Sawtelle location, but I was sadly disappointed. I ordered the spicy miso ramen - my go to order, but it was waaaaaay too salty. I couldn't finish it because the salty taste was so strong. My friend who also got the spicy miso said the same thing. The daikoku ramen was good though and had a nice flavor. One of my friends got the tonkatsu and did not like it - said it had too much breading and was too dry. The line here is super long - about 40 min on a Sunday afternoon. They are cash only and have an ATM at the back of the restaurant. I think I'll stick to the Sawtelle location.Parking here is pretty difficult. Ended up parking in a lot across the street for $15.",3
"I visited Daikokuya a few weeks ago after being told that it was one of the best ramen spots in the US. After visiting other restaurants who have claimed that title - Momofuku, Ippudo, and others - I can confidently say that this earns its place on the list. Although there is usually quite a wait for a bowl of ramen, we were able to be seated immediately due to it being a very rainy weekday at an offtime. We were served immediately and ordered the daikoku ramen with gyoza. The gyoza was very good - it wasn't over-steamed and had a really nice filling. It can be easy to overcook the dumplings and make it too mushy, but it was cooked nicely. The ramen itself was amazing! I am not a fan of a broth that contains a lot of sodium and garlic, and the daikoku ramen had the least amount of sodium out of any ramen I had ever tried but was still just as flavorful (if not more!). The noodles also felt quite thin, and they weren't skimpy on the meat. I didn't feel as bloated or as drowsy as I normally do after eating ramen. I actually felt quite refreshed!I'm not sure if I would have enjoyed it as much if I had to wait in a line outside for upwards of an hour, but I surely did without the wait. As a tourist, I recommend Daikokuya to every other visitor!",5
"Were we just in LA to eat or what?! I was so lucky to have been introduced to this amazing ramen joint in LA. The original location was closed due to renovations but they moved just a few steps down the block to their temporary location. Wait-time was just about 15 minutes for a group of 5. We each ordered the Daikoku Ramen. I took my first bite and WOW! The best handcrafted ramen I've ever had. The broth was thick, rich in flavor, and not too salty. Generous portions along with a friendly waitstaff. Not much more to say- just go and try it!",5
"So we wanted to go to the original place which was closed at the end of April and will open in May. Also they have opened another placed on the same street named Hachioji with the same staff and I think the sous chef from the original place.The ramen was delicious but the wait outside for more than an hour made me a little ""hangry"" I have had good ramen in many different places and this is definitely in the top 5 places but I can't say it was above or beyond the best ramen I have ever had. Apart from the that once inside the service was quick and efficient and the servings are very generous. And I had some left for the next day. I would definitely recommend this place but go early and eat a snack just in case you have a long wait.",4
"CASH ONLY JOINT.Yes, they're finally opened again! (As of May 16, 2018). Parking: Street metered parking and paid, public parking lots all around. We work nearby and so it was walking distance for us.They were closed for a while, and so I was pretty excited that I finally got to try them out on a Friday night for dinner with some of my coworkers. Previously, I was told to try this place out first before eating at Marugame Monzo, so that I can experience the different broth versions, and yea, I gotta say, Daikokuya beats Monzo hands down! (However, Monzo beats Daikokuya Udon-wise!). My group of 4 got here around 5:10pmish on Friday. We signed in, and then waited about 15mins for our names to be called and were promptly seated afterwards. Our waitress then came over to get our drinks first. My coworkers and I ended up getting the Combination Sets, which will allows you to experience a little bit of everything:Drinks: Two coworkers got iced water and a Japanese Soda, while the other coworker got a Coke, and I got a raspberry iced tea. Each was $3 (iced water was free). Refills were available for the iced water, Coke and raspberry iced tea. I ended up getting the $18.00 Daikokuya Ramen (House specialty) + Pork Cutlet Bowl, served with a bowl of shredded cabbage salad. The shredded cabbage bowl was refreshing and tasty. Though, the dressing tasted a bit odd. It was sweet, but I couldn't figure out the tangy component of it. Nonetheeless, it was still good and refreshing. Afterwards, the Daikokuya Ramen came out, and man, the broth A-MAZ-ING! It was rich, flavorful, and tasted really clean without being overloaded on sodium. It was so good, to the point, I almost picked up the bowl and finished off the entire broth but I didn't since I was in the presences of my coworkers, lol! Also, I still had my pork cutlet to try, lol! The pork belly was delicious and definitely melts in your mouth, and the soft boiled egg was cooked perfectly as well. The egg noodles were yummy, slightly chewy and plentiful. Topped with chopped scallions and onions, I would definitely get this again. A MUST GET, especially, if you're a first time newbie (like me).As for the pork cutlet, it became more of an afterthought once I had finished the ramen. The pork cutlet itself was soft and thick. The eggs cooked with the cutlets were also delicious, but it did make the cutlet a bit soggy. However, the sweet sauce they poured underneath the rice was gross. I ended up eating just the pork cutlets and left the rice. As for my coworkers:One got $16.50 Daikokuya Ramen + Fried Rice, while the one got the $17.00 Spicy Miso Ramen with Beef Bowl, and my other coworker just got the Daikukoya Ramen itself, but he did sample some of the beef bowl from my other coworker. They all dig their ramen and took the remaining fried rice and beef bowl home. Service: Fast, friendly and polite. They got our drinks and food down, and within 10mins, everything came out. I also liked that the servers check in on us periodically to see if we needed anything else. Even though there was a ton of people waiting, we didn't feel rushed, and so that was great.Ambience and dÃƒÅ’Ã‚Â©cor: Classic, retro-style Japanese decor. Large space, but cozy as well. Every square inch of space was used. If you're coming with a big group, recommended for groups of 4 people. Otherwise, if you're dining solo, or with 2-3 people, you'll get in quicker. It gets loud, but you can still hear each other. Overall, definitely worth the return. Their broth has won me over, and looking forward to hopefully dining here for the lunch hour, and/or dinner again, yay!",4
"The wait wasn't too long even though I came with a large group of 4 on a Saturday night. I was very pleased with the food and the portions provided. However, corn is $1 extra charge which was unexpected because I've never been to a ramen house that charged extra for corn.You definitely leave full with the huge portions they give. But, with a group of 4, our bill came out to $60 including tip. This is pretty pricey even for the big portions.",4
"VEGAN REVIEW:tl;dr: I tried both vegan ramens. The tomato vegan ramen was SPOT on and so delicious; I think I like it more than the spicy sesame.This place is awesome for vegans and omnivores alike! I came on 2 occasions, so I was able to try BOTH vegan options.SPICY SESAME:This was my introduction to Daikokuya, and it certainly left an impression. The ramen was spicy, but not the ""burn your face off"" kind of spicy. It was mild. The broth was comforting and the noodles had a great chewy texture. I wish there were more veggies, but besides that, the ramen met my expectations.TOMATO:I was hesitant to try this, because I was worried it would taste like marinara sauce; I was also very intrigued, and my curiosity won out. My goodness I am glad I had this. It was delicious. The broth had a tomato flavor but it was savory and not overpowering. The arugula added a nice bitterness to the broth and the cooked zucchini and tomatoes were a delicious touch. I highly recommend giving the ramen a good STIR once you get your bowl. It seemed like the broth ""settled"" so that the more broth I had and the farther down the bowl I got, the thicker and saltier the broth became. Give it a good mix and you should be fine. I think this one was my favorite of the two, and I would highly recommend it.NOTE: This place is CASH ONLY, but there's an ATM inside. Bathrooms are towards the back of the restaurant. People must wait outside and all members of the party must be there to be seated. Also, come early to put your name down on the list. The first time I came, it was 9:30pm and my table of 4 was seated at 10:30pm. The second time, it was 6:30pm and we were seated by 6:45pm. Not sure why that was the case, but come early and hungry.",5
"Came here on a Friday afternoon right around 11am - opening time but they opened maybe 15-20 minutes later. I'm not sure if that's a regular thing or not but I do recommend coming early because there was a sizeable line already and we were one of the last people to make it in before the cut off.We got the housemade gyoza, spicy miso ramen, and daikokuya ramen combo with pork chashu rice bowl.The housemade gyoza is really good and unlike any other gyoza I've ever had. If you're a fan of gyoza, you should definitely try it. It's about $6.50 so it is more expensive than usual but worth a try at least once. The gyoza are rectangular shaped and fried on one side. The skin is very thin and nicely crispy. Inside are pork and vegetable meat balls which tasted average. The entire dish is topped with green onions and they give you gyoza sauce to go with it. It's like a sweet soy sauce but not as sweet as other places. It was very light.The spicy miso soup was alright. It came with a few bamboo shoots, chashu, green onions, and a hard boiled egg. They gave us the egg entirely, not cut in half like usual or like in the photos so I thought that was kinda weird. It was also boiled almost all the way through so it wasn't really runny either. The broth itself wasn't too spicy but it did have good flavor. Not spicy at all if you're a spice lover like myself. The noodles were good though, they were egg based noodles and thicker and chewier.The daikokuya ramen was a lot more flavorful than the spicy miso. However, it tasted even better when we added the spicy miso bomb. It was like a blast of flavor with spiciness.The pork chashu rice bowl was pretty good too! It was more of a donburi type of rice bowl so it came with egg and a sweet sauce. I really liked it but there were a few pieces of pork that were a little dry.Overall, this place was a good restaurant to try and definitely recommend if you haven't tried but there wasn't anything that was super amazing that I would make the effort to come back for.",4
